rt,mz,lg(signal),N,C,score,feature,adduct name,db_formula,ID
14.00869,310.9789,4.302421075,0,6,0.922801027,Adduct,K-H,,10323
13.83709,300.049,4.374503478,1,8,0.983727452,Adduct,K-H,,9306
13.63477,741.9976,4.423577825,3,17,0.868813023,Adduct,K-H,,9090
13.61813,644.03,5.097277732,3,17,0.943733834,Adduct,K-H,,3870
13.60426,681.9855,4.016527615,3,17,0.886258299,Adduct,K-H,,11327
13.59362,384.0119,3.962088515,5,10,0.962318684,Adduct,K-H,,12689
13.55847,359.0434,4.350417874,3,10,0.955551567,Adduct,K-H,,10461
13.52117,169.9861,4.703115112,1,4,0.976669741,Adduct,K-H,,7814
13.51779,295.9944,4.492771697,1,6,0.987944742,Adduct,K-H,,9427
13.47742,293.9902,3.845898227,1,8,0.790059673,Adduct,K-H,,12681
